reference,description,cost,units
71M2550,บานพับทับขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 6หุน,52.00,ตัว
71M2650,บานพับครึ่งขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 6หุน,53.00,ตัว
71M2750,บานพับในขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 6หุน,54.00,ตัว
71M258E,บานพับทับขอบ ถ้วยแบบ EXPANDO เปิด 100องศา หน้าบานหนา 6หุน,54.00,ตัว
71M268E,บานพับครึ่งขอบ ถ้วยแบบ EXPANDO เปิด 100องศา หน้าบานหนา 6หุน,55.00,ตัว
71M278E,บานพับในขอบ ถ้วยแบบ EXPANDO เปิด 100องศา หน้าบานหนา 6หุน,56.00,ตัว
71.655,บานพับทับขอบ ถ้วยแบบ SCREW-ON เปิด 170องศา หน้าบานหนา 6หุน,125.00,ตัว
80.6107,ฝาปิดขาบานพับพลาสติกสีดำ,3.50,ตัว
79A9658,บานพับทับขอบเข้ามุม 45องศา ถ้วยแบบ SCREW-ON เปิด 95องศา หน้าบานหนา 6หุน,129.00,ตัว
90M2203,ฝาปิดขาบานพับพลาสติกสีดำ,3.00,ตัว
75T4100,บานพับกระจกทับขอบ รุ่น CLIP top เปิด 94องศา,118.00,ตัว
75T4300,บานพับกระจกในขอบ รุ่น CLIP top เปิด 94องศา,120.00,ตัว
*95M4100,บานพับกระจกในขอบ รุ่น MODUL เปิด 94องศา,67.00,ตัว
84.412CRP,แป้นหน้ากระจก สีเงินเงา ครึ่งวงรี,54.00,อัน
84.414CRP,แป้นหน้ากระจก สีเงินเงา วงกลม,54.00,อัน
84.415CRP,แป้นหน้ากระจก สีเงินเงา วงรี,54.00,อัน
84.412G,แป้นหน้ากระจก สีทองเงา ครึ่งวงรี,69.00,อัน
84.414G,แป้นหน้ากระจก สีทองเงา วงกลม,69.00,อัน
84.415G,แป้นหน้ากระจก สีทองเงา วงรี,69.00,อัน
79C4500BT,บานพับกระจก เปิด 125องศา ใช้กับกระจกหนา 6-10มม.,307.00,ตัว
78C4568,แป้นติดกระจก ขนาด 28x60มม.,173.00,ตัว
173L6100,ตัวหนุนขาบานพับแบบปีก สามารถปรับได้ ขนาด 0มม.,8.00,ตัว
173L6130,ตัวหนุนขาบานพับแบบปีก สามารถปรับได้ ขนาด 3มม.,10.00,ตัว
173L8300,ตัวหนุนขาบานพับแบบปีก สามารถปรับได้ ขนาด 0มม. (ระยะรูเจาะ 28/32มม.),15.00,ตัว
173L8330,ตัวหนุนขาบานพับแบบปีก สามารถปรับได้ ขนาด 3มม. (ระยะรูเจาะ 28/32มม.),16.50,ตัว
174E6100.01,ตัวหนุนขาบานพับแบบปีก มีปุ๊กและสกรูในตัว สามารถปรับได้ ขนาด 0มม.,13.50,ตัว
175H7100,ตัวหนุนขาบานพับแบบปีก แบบสองชั้น สามารถปรับได้ ขนาด 0มม.,29.00,ตัว
177H5100,ตัวหนุนขาพับแบบตรง มีปุ๊ก Ø 10มม. และสกรู สามารถปรับได้ ขนาด 0มม.,31.00,ตัว
9M2550,บานพับทับขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 6หุน,31.00,ตัว
91M2650,บานพับครึ่งขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 6หุน,32.00,ตัว
91M2750,บานพับในขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 6หุน,33.00,ตัว
91M9550,บานพับทับขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 1นิ้ว,68.00,ตัว
91M9650,บานพับครึ่งขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 1 นิ้ว,69.00,ตัว
91M9750,บานพับในขอบ ถ้วยแบบ SCREW-ON เปิด 100องศา หน้าบานหนา 1นิ้ว,70.00,ตัว
*91M0550,บานพับทับขอบ ถ้วยแบบ SCREW-ON Ø 26มม. เปิด 100องศา,70.00,ตัว
91A6550,บานพับทับขอบ ถ้วยแบบ SCREW-ON เปิด 170องศา หน้าบานหนา 6 หุน,91.50,ตัว
80.6107,ฝาปิดขาบานพับพลาสติกสีดำ,3.50,ตัว
193L6100,ตัวหนุนขาบานพับแบบปีก สามารถปรับได้ ขนาด 0มม.,10.00,ตัว
193L6130,ตัวหนุนขาบานพับแบบปีก สามารถปรับได้ ขนาด 3มม.,11.00,ตัว
*194E6100,ตัวหนุนขาบานพับแบบปีกมีปุ๊กและสกูรในตัว สามารถปรับได้ ขนาด 0มม.,13.75,ตัว
*194E6130,ตัวหนุนขาบานพับแบบปีกมีปุ๊กและสกูรในตัว สามารถปรับได้ ขนาด 3มม.,15.25,ตัว
*195.5130,ตัวหนุนขาบานพับตรง ขนาด 3มม.,10.00,ตัว
